Public Values,,,,,,,,,,,,Hidden Values,,,,,,,,,,,,,,,,Lookup Values,
ID,Heritage,Ranking,Stock,Talent,Gender,Animal,Skin Name,Name,Father's Name,Mother's Name,Class,Father ID,Mother ID,Distance Preference,Consistency,,,,,,,,,,,,,Cluck Number,Skin No
22,Orpington,10,Spicy,Glue Trap,Rooster,Chicken,CommonColourF,,--,--,Unclassed,0,0,160,6.44,,,,,,,,,,,,,2,6
23,Orpington,10,Spicy,Runny Egg,Hen,Chicken,CommonColourB,,--,--,Unclassed,0,0,160,9.61,,,,,,,,,,,,,10,2
24,Lakenvelder,1,Spicy,Tunnel,Rooster,Chicken,CommonColourE,,--,--,Unclassed,0,0,100,6.65,,,,,,,,,,,,,4,5
25,Lakenvelder,1,Spicy,Blue Egg,Hen,Chicken,CommonColourF,,--,--,Unclassed,0,0,140,8.84,,,,,,,,,,,,,10,6
26,Lakenvelder,2,Spicy,Fan Group,Rooster,Chicken,CommonColourE,,--,--,Unclassed,0,0,240,6.42,,,,,,,,,,,,,4,5
27,Lakenvelder,3,Robust,Helicopter,Hen,Chicken,CommonColourB,,--,--,Unclassed,0,0,220,7.40,,,,,,,,,,,,,3,2
28,Lakenvelder,4,Fresh,Dinosaur Form,Rooster,Chicken,CommonColourE,,--,--,Unclassed,0,0,220,8.82,,,,,,,,,,,,,6,5
29,Lakenvelder,5,Crisp,Cold Snap,Hen,Chicken,CommonColourF,,--,--,Unclassed,0,0,220,8.26,,,,,,,,,,,,,8,6
30,Lakenvelder,5,Tender,Black Hole,Rooster,Chicken,CommonColourE,,--,--,Unclassed,0,0,140,9.83,,,,,,,,,,,,,8,5
31,Lakenvelder,6,Bland,Pitfall,Hen,Chicken,CommonColourB,,--,--,Unclassed,0,0,240,7.07,,,,,,,,,,,,,10,2
32,Lakenvelder,7,Spicy,Growth,Rooster,Chicken,CommonColourC,,--,--,Unclassed,0,0,240,8.03,,,,,,,,,,,,,11,3
33,Lakenvelder,8,Spicy,Anvil,Hen,Chicken,CommonColourB,,--,--,Unclassed,0,0,140,8.97,,,,,,,,,,,,,7,2
34,Lakenvelder,9,Spicy,Flight,Rooster,Chicken,CommonColourC,,--,--,Unclassed,0,0,240,5.22,,,,,,,,,,,,,5,3
35,Lakenvelder,10,Spicy,Energy Drink,Hen,Chicken,UncommonColourC,,--,--,Unclassed,0,0,200,5.34,,,,,,,,,,,,,7,9
36,Lakenvelder,10,Spicy,Trebuchet,Rooster,Chicken,RareColourB,,--,--,Unclassed,0,0,220,5.13,,,,,,,,,,,,,7,11
37,Dorking,1,Spicy,Glue Trap,Hen,Chicken,RareColourA,,--,--,Unclassed,0,0,100,6.59,,,,,,,,,,,,,5,10
38,Dorking,1,Spicy,Runny Egg,Rooster,Chicken,CommonColourB,,--,--,Unclassed,0,0,140,6.10,,,,,,,,,,,,,6,2
39,Dorking,2,Spicy,Tunnel,Hen,Chicken,CommonColourC,,--,--,Unclassed,0,0,120,9.66,,,,,,,,,,,,,1,3
40,Dorking,3,Spicy,Blue Egg,Rooster,Chicken,CommonColourE,,--,--,Unclassed,0,0,240,9.34,,,,,,,,,,,,,7,5
41,Dorking,3,Robust,Fan Group,Hen,Chicken,UncommonColourC,,--,--,Unclassed,0,0,200,5.00,,,,,,,,,,,,,10,9
42,Dorking,4,Fresh,Helicopter,Rooster,Chicken,CommonColourB,,--,--,Unclassed,0,0,220,9.18,,,,,,,,,,,,,14,2
43,Dorking,5,Crisp,Dinosaur Form,Hen,Chicken,CommonColourD,,--,--,Unclassed,0,0,100,8.55,,,,,,,,,,,,,4,4
44,Dorking,6,Tender,Cold Snap,Rooster,Chicken,CommonColourE,,--,--,Unclassed,0,0,180,7.22,,,,,,,,,,,,,1,5
45,Dorking,6,Bland,Black Hole,Hen,Chicken,UncommonColourB,,--,--,Unclassed,0,0,120,10.00,,,,,,,,,,,,,18,8
46,Dorking,7,Spicy,Pitfall,Rooster,Chicken,CommonColourE,,--,--,Unclassed,0,0,100,8.64,,,,,,,,,,,,,7,5
47,Dorking,8,Spicy,Growth,Hen,Chicken,UncommonColourB,,--,--,Unclassed,0,0,140,7.08,,,,,,,,,,,,,15,8
48,Dorking,9,Spicy,Anvil,Rooster,Chicken,UncommonColourA,,--,--,Unclassed,0,0,160,5.62,,,,,,,,,,,,,10,7
49,Dorking,10,Spicy,Flight,Hen,Chicken,CommonColourC,,--,--,Unclassed,0,0,100,5.19,,,,,,,,,,,,,13,3
50,Dorking,10,Spicy,Energy Drink,Rooster,Chicken,CommonColourC,,--,--,Unclassed,0,0,220,7.66,,,,,,,,,,,,,7,3
